都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
282162,,兵庫県,高砂市,2019/11/29,高砂,8256,4091,4165,118,136,141,148,155,150,197,181,307,175,343,194,225,168,220,194,229,229,298,275,224,225,232,244,198,238,313,317,327,408,253,304,179,267,132,312,4179,
282162,,兵庫県,高砂市,2019/11/29,荒井,11141,5530,5611,247,258,305,309,323,298,328,319,254,254,314,202,336,278,403,367,450,420,457,443,288,307,265,277,267,325,371,378,384,379,258,288,151,235,129,274,4643,
282162,,兵庫県,高砂市,2019/11/29,伊保,19126,9399,9727,321,308,400,396,428,444,523,509,610,475,562,430,488,431,526,541,650,614,789,752,620,636,554,563,480,567,648,731,740,818,566,631,292,404,202,477,8425,
282162,,兵庫県,高砂市,2019/11/29,中筋,5499,2591,2908,98,104,116,98,93,130,118,119,134,153,119,119,148,152,149,148,156,183,217,212,163,175,171,201,156,175,213,222,217,267,180,194,84,143,59,113,2482,
282162,,兵庫県,高砂市,2019/11/29,曽根,11677,5744,5933,208,215,265,225,310,279,345,316,367,275,286,288,308,281,315,338,411,379,487,458,345,402,347,334,335,363,405,461,423,469,290,333,179,234,118,283,4927,
282162,,兵庫県,高砂市,2019/11/29,米田,18484,8824,9660,406,337,362,404,378,392,476,461,479,491,489,508,523,540,525,507,573,616,708,772,652,675,591,623,504,550,592,650,592,693,484,600,303,407,187,434,8014,
282162,,兵庫県,高砂市,2019/11/29,阿弥陀,11381,5524,5857,259,241,279,286,287,260,227,223,259,253,244,240,322,317,363,342,412,390,435,466,345,324,294,367,316,358,432,398,393,477,359,398,168,234,130,283,4771,
282162,,兵庫県,高砂市,2019/11/29,北浜,4986,2405,2581,75,77,111,79,114,114,112,121,134,108,94,97,104,120,131,118,153,135,206,193,168,172,135,142,129,152,182,206,224,241,174,202,99,133,60,171,2142,
